iter	Passed	Remaining
0	1	149
1	2	136
2	4	131
3	5	120
4	6	120
5	7	120
6	8	119
7	10	118
8	11	116
9	12	114
10	13	112
11	15	111
12	16	110
13	17	109
14	19	107
15	20	106
16	21	104
17	22	103
18	24	102
19	25	101
20	26	99
21	27	98
22	29	97
23	30	96
24	31	94
25	32	93
26	34	92
27	35	91
28	36	90
29	38	89
30	39	87
31	40	86
32	41	85
33	43	83
34	44	82
35	45	81
36	47	80
37	48	78
38	49	78
39	51	76
40	52	75
41	52	73
42	54	71
43	55	70
44	56	69
45	57	68
46	59	66
47	60	65
48	61	64
49	62	62
50	64	61
51	65	60
52	66	59
53	67	57
54	68	56
55	69	54
56	71	53
57	72	52
58	73	51
59	75	50
60	76	48
61	77	47
62	79	46
63	80	45
64	81	43
65	82	42
66	84	41
67	85	40
68	86	38
69	87	37
70	89	36
71	90	35
72	91	33
73	93	32
74	94	31
75	95	30
76	96	28
77	98	27
78	99	26
79	100	25
80	101	23
81	103	22
82	104	21
83	105	20
84	107	18
85	108	17
86	109	16
87	110	15
88	112	13
89	113	12
90	114	11
91	115	10
92	117	8
93	118	7
94	119	6
95	121	5
96	122	3
97	123	2
98	125	1
99	126	0
