iter	Passed	Remaining
0	138	138641
1	140	70233
2	142	47431
3	145	36129
4	147	29258
5	149	24745
6	151	21467
7	152	18968
8	154	16997
9	155	15417
10	159	14335
11	160	13254
12	162	12345
13	165	11627
14	167	10973
15	168	10386
16	170	9872
17	173	9450
18	175	9040
19	176	8669
20	178	8329
21	180	8005
22	181	7710
23	182	7437
24	184	7186
25	188	7051
26	190	6849
27	191	6650
28	193	6467
29	194	6299
30	196	6136
31	197	5982
32	199	5839
33	201	5712
34	202	5581
35	204	5464
36	205	5350
37	207	5240
38	208	5134
39	209	5038
40	211	4945
41	214	4882
42	215	4801
43	217	4720
44	218	4641
45	220	4564
46	221	4490
47	222	4419
48	224	4355
49	225	4290
50	229	4271
51	230	4211
52	232	4155
53	233	4098
54	235	4043
55	236	3992
56	238	3940
57	239	3891
58	241	3844
59	244	3827
60	246	3789
61	247	3751
62	249	3717
63	251	3684
64	253	3650
65	255	3618
66	257	3590
67	260	3571
68	262	3540
69	264	3508
70	265	3478
71	267	3445
72	268	3412
73	270	3382
74	271	3350
75	275	3347
76	276	3318
77	278	3289
78	279	3260
79	281	3236
80	282	3208
81	284	3184
82	285	3149
83	286	3124
84	289	3120
85	291	3097
86	292	3074
87	294	3050
88	295	3028
89	297	3005
90	298	2982
91	300	2961
92	301	2939
93	302	2918
94	305	2911
95	307	2891
96	308	2872
97	310	2853
98	311	2834
99	312	2815
100	314	2796
101	315	2778
102	317	2760
103	320	2757
104	321	2743
105	323	2725
106	324	2708
107	325	2691
108	327	2675
109	328	2659
110	330	2643
111	331	2628
112	333	2615
113	335	2606
114	337	2594
115	338	2583
116	340	2568
117	341	2555
118	343	2541
119	344	2527
120	345	2513
121	346	2497
122	348	2488
123	350	2476
124	351	2463
125	353	2452
126	354	2438
127	356	2427
128	357	2416
129	359	2405
130	360	2393
131	362	2386
132	364	2375
133	366	2366
134	367	2356
135	369	2345
136	370	2334
137	372	2323
138	373	2313
139	376	2311
140	377	2301
141	378	2287
142	380	2278
143	381	2268
144	383	2258
145	384	2248
146	385	2238
147	387	2228
148	388	2218
149	390	2215
150	392	2206
151	394	2200
152	395	2191
153	397	2183
154	398	2174
155	400	2165
156	401	2156
157	402	2147
158	404	2139
159	407	2139
160	408	2128
161	410	2121
162	411	2113
163	413	2105
164	414	2097
165	415	2089
166	417	2081
167	418	2073
168	422	2076
169	424	2071
170	426	2065
171	427	2059
172	429	2052
173	430	2044
174	432	2036
175	433	2029
176	436	2029
177	438	2023
178	439	2016
179	441	2009
180	442	2002
181	443	1995
182	445	1988
183	446	1981
184	448	1973
185	449	1966
186	452	1967
187	454	1961
188	455	1954
189	457	1948
190	458	1942
191	460	1936
192	461	1929
193	462	1923
194	464	1917
195	468	1920
196	469	1914
197	471	1908
198	472	1901
199	474	1896
200	475	1889
201	476	1883
202	478	1877
203	479	1871
204	482	1872
205	484	1868
206	486	1864
207	488	1860
208	489	1854
209	491	1848
210	492	1842
211	495	1840
212	500	1849
213	502	1846
214	504	1842
215	506	1838
216	508	1836
217	510	1831
218	514	1834
219	516	1830
220	518	1828
221	520	1824
222	522	1820
223	524	1816
224	526	1813
225	529	1814
226	531	1810
227	533	1806
228	535	1802
229	537	1798
230	538	1794
231	543	1800
232	547	1801
233	548	1795
234	549	1790
235	551	1784
236	552	1779
237	554	1773
238	555	1768
239	556	1763
240	560	1765
241	562	1761
242	564	1757
243	566	1755
244	567	1750
245	569	1745
246	571	1740
247	572	1736
248	576	1739
249	578	1735
250	580	1732
251	582	1729
252	584	1724
253	585	1719
254	587	1714
255	590	1716
256	592	1712
257	597	1717
258	599	1714
259	601	1710
260	602	1706
261	606	1709
262	608	1706
263	610	1702
264	614	1703
265	615	1699
266	617	1695
267	621	1697
268	623	1693
269	625	1690
270	628	1690
271	630	1686
272	632	1683
273	636	1685
274	638	1682
275	643	1687
276	645	1684
277	647	1680
278	648	1676
279	653	1679
280	655	1676
281	657	1674
282	659	1670
283	660	1665
284	662	1661
285	663	1656
286	667	1657
287	669	1654
288	670	1650
289	673	1649
290	675	1644
291	676	1640
292	677	1635
293	679	1631
294	683	1634
295	685	1630
296	687	1627
297	689	1623
298	690	1619
299	691	1614
300	693	1610
301	694	1606
302	699	1607
303	700	1604
304	702	1601
305	704	1598
306	706	1594
307	707	1590
308	709	1585
309	710	1582
310	712	1578
311	713	1573
312	715	1569
313	716	1565
314	718	1561
315	719	1557
316	721	1553
317	722	1549
318	724	1545
319	727	1546
320	729	1542
321	730	1538
322	731	1534
323	733	1530
324	735	1526
325	736	1523
326	738	1519
327	741	1519
328	742	1515
329	744	1510
330	745	1507
331	747	1503
332	748	1499
333	750	1495
334	751	1491
335	752	1487
336	754	1483
337	757	1483
338	758	1479
339	760	1475
340	761	1471
341	762	1467
342	764	1464
343	765	1460
344	767	1457
345	768	1453
346	772	1453
347	773	1450
348	775	1446
349	776	1442
350	778	1438
351	779	1435
352	781	1432
353	783	1428
354	784	1425
355	788	1426
356	790	1423
357	791	1420
358	793	1417
359	795	1413
